"filename", "language", "XMake", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h", "C++", 0, 0, 9, 0, 4, 13
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 0, 12, 0, 1, 13
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 11, 0, 3, 14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 2, 0, 0, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 5, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\SimPlayerGroup.h", "C++", 0, 0, -8, 0, -2, -10
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 42, 4, 2, 48
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 2, 0, 0, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, 0, -28, -4, 0, -32
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", 0, 0, 4, 0, 0, 4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 0, 0, 2, 0, 1, 3
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 2, 0, 1, 3
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 5, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 38, 0, 4, 42
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 7, 0, 1, 8
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 2, 0, 0, 0, 2
"f:\Project\levilamina\1.4.x\CFSP\xmake.lua", "XMake", 2, 0, 0, -2, 0, 0
"Total", "-", 2, 2, 105, -2, 15, 122
