"filename", "language", "XMake", "YAML", "Markdown", "Lua", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\bug_report.yml", "YAML", 0, 47, 0, 0, 0, 0, 0, 9, 56
"f:\Project\levilamina\1.4.x\CFSP\.github\ISSUE_TEMPLATE\feature_request.yml", "YAML", 0, 25, 0, 0, 0, 0, 0, 4, 29
"f:\Project\levilamina\1.4.x\CFSP\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 9, 19
"f:\Project\levilamina\1.4.x\CFSP\.github\workflows\build.yml", "YAML", 0, 34, 0, 0, 0, 0, 10, 12, 56
"f:\Project\levilamina\1.4.x\CFSP\.github\workflows\release.yml", "YAML", 0, 68, 0, 0, 0, 0, 0, 17, 85
"f:\Project\levilamina\1.4.x\CFSP\CHANGELOG.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 58, 145
"f:\Project\levilamina\1.4.x\CFSP\CHANGELOG_ZH.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 61, 151
"f:\Project\levilamina\1.4.x\CFSP\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 12, 26
"f:\Project\levilamina\1.4.x\CFSP\manifest.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 7
"f:\Project\levilamina\1.4.x\CFSP\scripts\after_build.lua", "Lua", 0, 0, 0, 105, 0, 0, 1, 19, 125
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp", "C++", 0, 0, 0, 0, 0, 21, 1, 9, 31
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.h", "C++", 0, 0, 0, 0, 0, 15, 6, 14, 35
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\Config.h", "C++", 0, 0, 0, 0, 0, 28, 0, 6, 34
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\MemoryOperators.cpp", "C++", 0, 0, 0, 0, 0, 2, 2, 3, 7
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h", "C++", 0, 0, 0, 0, 0, 18, 0, 3, 21
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Macros.h", "C++", 0, 0, 0, 0, 0, 11, 0, 5, 16
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h", "C++", 0, 0, 0, 0, 0, 35, 0, 8, 43
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Schedule.h", "C++", 0, 0, 0, 0, 0, 17, 0, 5, 22
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp", "C++", 0, 0, 0, 0, 0, 16, 0, 5, 21
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h", "C++", 0, 0, 0, 0, 0, 7, 0, 5, 12
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 0, 0, 0, 0, 15, 0, 2, 17
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 0, 0, 0, 13, 0, 4, 17
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 0, 0, 0, 13, 0, 2, 15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp", "C++", 0, 0, 0, 0, 0, 73, 0, 3, 76
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp", "C++", 0, 0, 0, 0, 0, 12, 0, 2, 14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h", "C++", 0, 0, 0, 0, 0, 15, 0, 4, 19
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp", "C++", 0, 0, 0, 0, 0, 153, 0, 7, 160
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp", "C++", 0, 0, 0, 0, 0, 11, 0, 3, 14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 0, 0, 0, 274, 5, 30, 309
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 0, 0, 0, 66, 0, 8, 74
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp", "C++", 0, 0, 0, 0, 0, 19, 0, 3, 22
